phi, phidot
0.5235987459616013, -0.00101166
0.5235985941706013, -0.00202416
0.5235983411171012, -0.00303691
0.5235979867846012, -0.00404974
0.5235975311706013, -0.00506254
0.5235969742826013, -0.00607522
0.5235963161336012, -0.00708776
0.5235955567361013, -0.00810019
0.5235946960986013, -0.00911256
0.5235937342256013, -0.0101249
0.5235926711156013, -0.0111373
0.5235915067606013, -0.0121498
0.5235902411556013, -0.0131623
0.5235888743006013, -0.0141748
0.5235874061906013, -0.0151874
0.5235858368256012, -0.0161999
0.5235841662106012, -0.0172124
0.5235823943456013, -0.0182249
0.5235805212306013, -0.0192374
0.5235785468656012, -0.0202499
0.5235764712506012, -0.0212624
0.5235742943856013, -0.0222749
0.5235720162706012, -0.0232874
0.5235696369056013, -0.0242999
0.5235671562906012, -0.0253124
0.5235645744256012, -0.0263249
0.5235618913106013, -0.0273374
0.5235591069406013, -0.02835
0.5235562213156013, -0.0293625
0.5235532344406013, -0.030375
0.5235501463156013, -0.0313875
0.5235469569406013, -0.0324
0.5235436663156012, -0.0334125
0.5235402744356012, -0.0344251
0.5235367813006013, -0.0354376
0.5235331869156012, -0.0364501
0.5235294912756012, -0.0374627
0.5235256943806013, -0.0384752
0.5235217962356012, -0.0394877
0.5235177968356013, -0.0405003
0.5235136961806013, -0.0415128
0.5235094942706012, -0.0425254
0.5235051911056012, -0.0435379
0.5235007866906013, -0.0445504
0.5234962810206013, -0.045563
0.5234916740906013, -0.0465756
0.5234869659056013, -0.0475881
0.5234821564656013, -0.0486007
0.5234772457706013, -0.0496132
0.5234722338206013, -0.0506258
0.5234671206106013, -0.0516384
0.5234619061456013, -0.0526509
0.5234565904256012, -0.0536635
0.5234511734456013, -0.0546761
0.5234456552056013, -0.0556887
0.5234400357056013, -0.0567013
0.5234343149456012, -0.0577139
0.5234284929256012, -0.0587265
0.5234225696506013, -0.059739
0.5234165451206013, -0.0607516
0.5234104193256013, -0.0617643
0.5234041922656013, -0.0627769
0.5233978639456013, -0.0637895
0.5233914343656013, -0.0648021
0.5233849035256013, -0.0658147
0.5233782714256012, -0.0668273
0.5233715380606013, -0.06784
0.5233647034306013, -0.0688526
0.5233577675406013, -0.0698652
0.5233507303856013, -0.0708779
0.5233435919656013, -0.0718905
0.5233363522806013, -0.0729032
0.5233290113306013, -0.0739158
0.5233215691156012, -0.0749285
0.5233140256356013, -0.0759411
0.5233063808906013, -0.0769538
0.5232986348756012, -0.0779665
0.5232907875906013, -0.0789792
0.5232828390406012, -0.0799918
0.5232747892256012, -0.0810045
0.5232666381406013, -0.0820172
0.5232583857856012, -0.0830299
0.5232500321606013, -0.0840426
0.5232415772656013, -0.0850553
0.5232330210956013, -0.0860681
0.5232243636506013, -0.0870808
0.5232156049356013, -0.0880935
0.5232067449506013, -0.0891062
0.5231977836906013, -0.090119
0.5231887211556012, -0.0911317
0.5231795573506013, -0.0921444
0.5231702922706013, -0.0931572
0.5231609259106013, -0.09417
0.5231514582756013, -0.0951827
